rood
blauw
geel
groen
zwart
wit
roze
oranje
paars
bruin
grijs
turquoise
bordeaux
beige
smaragdgroen
limegroen
citroengeel
violet
goud
zilver
aqua
neon
mintgroen
donkerblauw
olijfgroen
goudgeel
