hond
kat
koe
paard
muis
vogel
olifant
leeuw
tijger
aap
zebra
konijn
vis
paard
dolfijn
beer
giraf
walvis
slang
schilpad
kikker
ezel
lama
kangoeroe
eekhoorn
hamster
rat
schaap
geit
eend
pinguin
kuiken
kip
zebra
vos
mol
stier
bij
fazant
walrus
pauw
uil
arend
krokodil
hert
bever
