taart
brood
melk
pizza
pasta
appels
sinaasappel
banaan
kiwi
mango
peper
zout
water
cola
koffie
thee
wijn
bier
chips
chocolade
cake
ijs
pannenkoek
soep
hamburger
salade
friet
ketchup
mayonaise
yoghurt
koekjes
kaas
worst
augurk
tomaat
komkommer
rijst
couscous
noedels
pinda
sushi
croissant
toast
sandwich
gebak
popcorn
snoep
fruitsap
limonade
