zonnebloem
cactus
orchidee
eucalyptus
roos
tulp
lelie
madeliefje
viooltje
dahlia
magnolia
kamille
anjer
hibiscus
lavendel
narcissus
tulpen
begonia
wilg
wilgenboom
esdoor
klimop
dennenboom
appelboom
kersenbloesem
rozenstruik
rozen
waterlelie
hyacint
bamboe
levendelstruik
framboos
lila
